,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
29,26.05200000000008,5.80400000000002,63.71617405798828,35,312.93865241323186,1.073659173234981,catalog,15733,50.0,4,43,False,radio,0,40
30,25.32866666666675,6.094666666666687,63.170462125977686,35,301.53734711303173,1.0339959820857705,catalog,13778,50.0,4,44,False,radio,0,41
31,25.683333333333408,5.367333333333352,62.875292836039456,34,327.1625154861021,1.1232974006672434,catalog,19666,50.0,4,45,False,radio,0,42
32,24.956000000000085,5.452000000000019,61.701749213800674,27,312.3452077583921,1.0722720922393527,catalog,73099,50.0,4,46,False,radio,0,43
33,26.772000000000084,7.004000000000024,59.60353845022951,22,258.10767322562555,0.8834609336964743,catalog,23195,50.0,4,47,False,radio,0,44
34,26.411333333333417,5.3946666666666845,59.015515642675865,22,288.3546193794138,0.9900078783497388,catalog,26730,50.0,4,48,False,radio,0,45
100098,25.181333333333416,7.000666666666691,58.37977461837247,22,201.0178969455144,0.6880567286154143,catalog,55989,50.0,31,49,True,radio,0,102775
35,26.993333333333428,6.484666666666689,58.25564446314333,21,284.6416057208711,0.975326986851722,catalog,14212,50.0,4,50,False,radio,0,46
36,27.00533333333342,5.503333333333352,57.78917649100094,21,287.95372503488375,0.988452088386368,catalog,20791,50.0,4,51,False,radio,0,47
37,26.47600000000009,5.6460000000000194,57.73841751919616,21,284.8716355456649,0.9776344773402458,catalog,31235,50.0,4,52,False,radio,0,48
38,24.95800000000008,5.535333333333352,57.30419324887736,21,275.0841877218899,0.9442246569708332,catalog,29693,50.0,4,53,False,radio,0,49
39,25.320666666666742,6.66866666666669,54.951460250028624,11,248.521530034465,0.8512461346021769,catalog,25269,50.0,4,54,False,radio,0,50
40,26.25866666666674,6.502666666666689,54.0918917951015,9,273.5472642907872,0.937278753211694,catalog,29228,50.0,4,55,False,radio,0,51
41,26.245333333333416,5.112000000000017,54.01267493960631,10,290.7796487972872,0.9987859478688654,catalog,22148,50.0,4,56,False,radio,0,52
42,26.063333333333407,5.746666666666686,53.80345900876594,9,264.8836115555246,0.9088798095668968,catalog,20115,50.0,4,57,False,radio,0,53
100099,25.53666666666674,6.297333333333355,50.33551233660528,9,174.5002611959454,0.5981456665153497,catalog,31522,50.0,31,58,True,radio,0,102776
43,25.412000000000067,6.132666666666688,50.18315625971002,2,239.9399023993124,0.8227147286237364,catalog,18155,50.0,4,59,False,radio,0,55
44,26.63733333333341,5.582666666666686,48.1119121115924,23,240.307795766727,0.8247883246537968,catalog,32047,40.0,6,60,False,radio,0,57
101111,25.773333333333422,6.66266666666669,47.05667613685092,80,154.81162442218564,0.5302735811205661,catalog,92837,25.0,45,61,True,radio,0,103797
45,25.63600000000009,5.447333333333352,46.48285950626519,22,244.08290494385503,0.8379361059193853,catalog,26426,40.0,6,62,False,radio,0,60
100100,25.630000000000084,7.027333333333357,46.04645150949068,81,161.68452459075357,0.5533925097235357,catalog,67761,25.0,32,63,True,radio,0,102777
46,24.945333333333423,4.976000000000017,42.97742331546916,9,200.27210356939028,0.6880497364746464,catalog,43219,40.0,6,64,False,radio,0,61
100101,25.15000000000009,5.896666666666687,40.91788453620435,68,138.01232605133362,0.473427476184421,catalog,86862,25.0,32,65,True,radio,0,102778
