,RADeg,decDeg,y_c,SNR,numSigPix,snr_threshold,template,iter_idx,idx,iter_num,patch_num,patch_idx
345,26.470666666666748,5.368000000000018,2.638998839688408e-06,4.922308145174076,556,4.0,gauss0.75arcmin,1285,345,17,0,345.0
346,26.002666666666748,6.463333333333355,3.111390534202697e-06,4.912513362206826,174,4.0,gauss0.35arcmin,467,346,17,0,346.0
634,25.952000000000087,6.454666666666689,2.395677750383637e-06,4.912506698329164,605,4.0,gauss0.75arcmin,305,347,18,0,634.0
347,26.66866666666674,5.497333333333352,2.717663190779357e-06,4.897371914597761,341,4.0,gauss0.6arcmin,1068,348,17,0,347.0
348,26.66600000000008,6.302666666666688,2.8576172920403887e-06,4.893171653936086,266,4.0,gauss0.45arcmin,766,349,17,0,348.0
349,25.338000000000083,5.692666666666686,2.9436965090228777e-06,4.892506453801804,190,4.0,gauss0.4arcmin,633,350,17,0,349.0
350,26.83866666666676,5.613333333333352,2.664150239107992e-06,4.883425817704001,393,4.0,gauss0.65arcmin,1148,351,17,0,350.0
351,26.150666666666744,5.541333333333352,2.606309510782703e-06,4.877902459578596,795,4.0,gauss0.75arcmin,1286,352,17,0,351.0
352,26.463333333333438,6.869333333333357,3.7425719950679487e-06,4.871555773069904,59,4.0,gauss0.25arcmin,13,353,17,0,352.0
353,25.69866666666675,4.955333333333351,2.950175096815561e-06,4.869857438353519,183,4.0,gauss0.4arcmin,635,354,17,0,353.0
354,26.95133333333341,6.404666666666689,2.773316884501928e-06,4.86861307863502,223,4.0,gauss0.45arcmin,767,355,17,0,354.0
635,26.07066666666675,5.056000000000017,3.70737445429049e-06,4.859951735209276,81,4.0,gauss0.25arcmin,0,356,18,0,635.0
355,26.60466666666676,5.790666666666686,3.1767431304109626e-06,4.854466028924656,150,4.0,gauss0.35arcmin,470,357,17,0,355.0
636,26.52666666666676,5.292666666666684,2.7199891675567577e-06,4.853858913942712,199,4.0,gauss0.45arcmin,174,358,18,0,636.0
356,25.986666666666764,6.325333333333354,2.943894685296592e-06,4.85262777338772,192,4.0,gauss0.4arcmin,636,359,17,0,356.0
357,26.36400000000008,5.034666666666683,3.902698565021558e-06,4.846223535116406,66,4.0,gauss0.25arcmin,14,360,17,0,357.0
358,26.89066666666675,5.520666666666686,3.0532780265957096e-06,4.842596738553302,182,4.0,gauss0.4arcmin,637,361,17,0,358.0
359,26.122000000000074,6.965333333333357,2.890725960901228e-06,4.841322582818118,174,4.0,gauss0.4arcmin,638,362,17,0,359.0
360,25.244000000000074,5.475333333333352,3.789077467035692e-06,4.839086872292948,65,4.0,gauss0.25arcmin,15,363,17,0,360.0
361,25.739333333333413,6.114666666666688,3.802910463654703e-06,4.838497018998336,79,4.0,gauss0.25arcmin,16,364,17,0,361.0
362,25.01800000000008,5.5113333333333525,3.7504490380877305e-06,4.830881207169645,82,4.0,gauss0.25arcmin,17,365,17,0,362.0
363,26.94800000000009,6.478000000000022,3.705456951222772e-06,4.830706257706797,80,4.0,gauss0.25arcmin,18,366,17,0,363.0
364,26.213333333333424,6.959333333333357,3.708769162305885e-06,4.828464455865047,83,4.0,gauss0.25arcmin,19,367,17,0,364.0
365,25.06333333333342,5.402666666666685,2.94854020077602e-06,4.827269198494598,179,4.0,gauss0.4arcmin,641,368,17,0,365.0
366,26.72000000000009,5.89000000000002,2.978312984718972e-06,4.824030177486023,167,4.0,gauss0.4arcmin,642,369,17,0,366.0
367,26.57400000000009,4.96133333333335,3.173607310200333e-06,4.82005896746026,139,4.0,gauss0.35arcmin,476,370,17,0,367.0
368,26.39266666666675,6.92666666666669,3.701432247196957e-06,4.818796741342794,59,4.0,gauss0.25arcmin,20,371,17,0,368.0
369,26.42666666666676,5.667333333333352,2.6616328658172955e-06,4.817869828981948,348,4.0,gauss0.6arcmin,1070,372,17,0,369.0
370,27.00400000000009,5.108666666666684,3.85124851911037e-06,4.803254357851677,64,4.0,gauss0.25arcmin,21,373,17,0,370.0
371,26.546000000000088,4.912000000000017,2.553467897973423e-06,4.803006988610747,444,4.0,gauss0.7arcmin,1221,374,17,0,371.0
372,26.490000000000084,5.2086666666666845,2.572086363975898e-06,4.797317729525514,458,4.0,gauss0.75arcmin,1288,375,17,0,372.0
373,26.31466666666675,5.499333333333352,3.843847685652135e-06,4.786477459284995,78,4.0,gauss0.25arcmin,22,376,17,0,373.0
374,26.27466666666675,6.523333333333356,2.751936949590431e-06,4.786009578590324,213,4.0,gauss0.45arcmin,773,377,17,0,374.0
375,26.19666666666675,5.344666666666685,3.808032267162968e-06,4.784177488520449,86,4.0,gauss0.25arcmin,23,378,17,0,375.0
376,26.17066666666674,4.950000000000017,3.0706791083864424e-06,4.777081810270143,135,4.0,gauss0.35arcmin,480,379,17,0,376.0
